Event Number,District,Time Received,Time Dispatched,SHIFT,CALLCODE,Call Code Description 1,Call Type,Priority,UNIT ID,Address,lat,lon
14-145414,S,07/02/2014 05:41:18,07/02/2014 05:42:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S101,"150 Stevens Ave, Jersey City, New Jersey, USA",40.7030585,-74.0903158333333
14-147384,N,07/04/2014 17:36:02,07/04/2014 17:37:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N503,"93 Reservoir Ave, Jersey City, New Jersey, USA",40.740051,-74.052021
14-148455,N,07/05/2014 19:54:19,07/05/2014 19:55:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N403,"353 Palisade Ave, Jersey City, New Jersey, USA",40.7408076666667,-74.046469
14-152921,N,07/11/2014 02:01:44,07/11/2014 02:02:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N101,"677 Liberty Ave, Jersey City, New Jersey, USA",40.759744,-74.050457
14-152937,N,07/11/2014 02:35:01,07/11/2014 02:36:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N401,"106 Bleeker (bleecker St), Jersey City, New Jersey, USA",,
14-152956,S,07/11/2014 03:47:26,07/11/2014 03:48:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S301,"175 Bayview Ave, Jersey City, New Jersey, USA",40.7066625830586,-74.0825766457818
14-154232,S,07/12/2014 17:47:25,07/12/2014 17:48:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S203,"312 Neptune Ave, Jersey City, New Jersey, USA",40.6983739615385,-74.1000051538462
14-154596,S,07/13/2014 01:16:42,07/13/2014 01:18:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"312 Neptune Ave, Jersey City, New Jersey, USA",40.6983739615385,-74.1000051538462
14-156895,S,07/16/2014 00:04:44,07/16/2014 00:05:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"17 Mina Dr, Jersey City, New Jersey, USA",40.6993304285714,-74.1019558571429
14-157199,N,07/16/2014 13:03:43,07/16/2014 13:04:00,2,D21.00,HYDRANT PARKING VIOLATION,SI,7,N302,"536 Newark Ave, Jersey City, New Jersey, USA",40.730838125,-74.05589575
14-159774,N,07/19/2014 20:28:46,07/19/2014 20:29:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,N103,"677 Liberty Ave, Jersey City, New Jersey, USA",40.759744,-74.050457
14-160102,W,07/20/2014 02:17:26,07/20/2014 02:18:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W701,"322 Ege Ave, Jersey City, New Jersey, USA",40.7176883829787,-74.0885126595745
14-160256,N,07/20/2014 09:42:14,07/20/2014 09:43:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,N602,"191 South St, Jersey City, New Jersey, USA",40.750565,-74.051029
14-160264,S,07/20/2014 09:55:13,07/20/2014 09:57:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S102,"209.213 Danforth Ave, Jersey City, New Jersey, USA",40.7060955,-74.099619
14-161606,S,07/21/2014 23:55:24,07/21/2014 23:57:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S101,"17 Mina Dr, Jersey City, New Jersey, USA",40.6993304285714,-74.1019558571429
14-163728,W,07/24/2014 23:18:13,07/24/2014 23:19:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W401,"298 Ege Ave, Jersey City, New Jersey, USA",40.7172502553192,-74.087694106383
14-164497,W,07/25/2014 23:35:01,07/25/2014 23:35:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,W501,"48 Park St, Jersey City, New Jersey, USA",40.71719432,-74.06878832
14-165116,S,07/26/2014 19:31:06,07/26/2014 19:33:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S103,"378 Fulton Ave, Jersey City, New Jersey, USA",40.7084389819259,-74.0925359728888
14-165351,N,07/26/2014 23:58:57,07/27/2014 00:00:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N501,"28 Paterson St, Jersey City, New Jersey, USA",40.7508421111111,-74.0474863333333
14-165555,N,07/27/2014 06:09:46,07/27/2014 06:11:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,N501,"120 Thorne St, Jersey City, New Jersey, USA",40.7506145217391,-74.0527096956522
14-166709,S,07/28/2014 23:09:52,07/28/2014 23:11:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S301,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-167389,S,07/29/2014 22:59:15,07/29/2014 23:00:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,S301,"Fowler Ave & Linden Ave, Jersey City, New Jersey, USA",,
14-169629,S,08/02/2014 00:14:51,08/02/2014 00:16:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-170611,S,08/03/2014 08:56:00,08/03/2014 08:57:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S602,"160 Pearsall Ave, Jersey City, New Jersey, USA",40.6953703333333,-74.0944127777778
14-170615,S,08/03/2014 09:17:28,08/03/2014 09:18:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,S302,"13 Wegman Ct, Jersey City, New Jersey, USA",40.701057173913,-74.0780965869565
14-173061,E,08/06/2014 17:18:10,08/06/2014 17:19:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,ETD1,"253 Pine St, Jersey City, New Jersey, USA",40.7117840588235,-74.0595187058824
14-173363,S,08/06/2014 23:42:33,08/06/2014 23:44:00,1,D21.00,HYDRANT PARKING VIOLATION,PH,7,S201,"302 Stegman Pkwy, Jersey City, New Jersey, USA",40.7086402727273,-74.0894658636364
14-175364,W,08/09/2014 17:13:35,08/09/2014 17:16:00,3,D21.00,HYDRANT PARKING VIOLATION,PH,7,W203,"149 Mallory Ave, Jersey City, New Jersey, USA",40.7194576666667,-74.0883458333333
14-175911,W,08/10/2014 11:05:34,08/10/2014 11:06:00,2,D21.00,HYDRANT PARKING VIOLATION,PH,7,W602,"128 Kensington Ave, Jersey City, New Jersey, USA",40.7248901460674,-74.0787955505618
14-178380,N,08/13/2014 20:38:17,08/13/2014 20:39:00,3,D21.00,HYDRANT PARKING VIOLATION,SI,7,N303,"28 Paterson St, Jersey City, New Jersey, USA",40.7508421111111,-74.0474863333333
